col1,col2,col3
0.638387113,0.51050338,0.381413503
0.312327386,0.185582287,0.518476598
0.621387441,0.018349683,0.110082661
0.893764977,0.722269129,0.542625453
0.029379708,0.721962993,0.005270933
0.377273696,0.809129491,0.030827456
0.667961454,0.074790793,0.336365809
0.959945974,0.972761857,0.960880108
0.898074078,0.241396211,0.090957446
0.248041683,0.485358242,0.365573135
0.495235238,0.145290016,0.804842464
0.563306828,0.541072257,0.733189965
0.048038314,0.291268645,0.704650505
0.188026207,0.244802765,0.702744622
0.804095568,0.159408521,0.344086571
0.801313132,0.891866407,0.830763015
0.863302095,0.770997083,0.533466689
0.540540812,0.631719596,0.602542094
